
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2019-05-18	2	10	66	67	25	26
2019-05-22	7	44	57	10	20	3
2019-05-25	43	39	2	66	1	2
2019-05-29	61	3	42	32	34	7
2019-06-01	34	45	6	52	15	8
2019-06-05	38	17	28	34	23	8
2019-06-08	13	9	48	42	60	18
2019-06-12	42	57	35	38	5	13
2019-06-15	8	11	49	16	14	14
2019-06-19	26	38	21	4	18	1
2019-06-22	66	14	3	6	11	21
2019-06-26	54	22	16	1	5	24
2019-06-29	59	13	24	62	17	8
2019-07-03	50	45	43	40	61	25
2019-07-06	4	8	46	23	65	1
2019-07-10	7	68	9	26	44	3
2019-07-13	32	35	13	23	68	21
2019-07-17	19	47	68	60	43	10
2019-07-20	5	64	36	26	69	19
2019-07-24	29	53	56	35	22	13
2019-07-27	61	19	1	48	31	6
2019-07-31	14	37	67	47	55	6
2019-08-03	45	68	3	6	66	13
2019-08-07	47	8	59	32	53	3
2019-08-10	41	59	58	44	35	3
2019-08-14	51	69	30	10	13	10
2019-08-17	24	30	18	21	60	20
2019-08-21	22	32	21	12	29	21
2019-08-24	47	20	12	21	5	1
2019-08-28	32	9	41	56	37	14
2019-08-31	41	50	14	56	57	18
2019-09-04	52	30	8	4	59	2
2019-09-07	41	56	20	11	42	6
2019-09-11	53	24	57	6	17	3
2019-09-14	31	11	27	36	67	11
2019-09-18	14	19	47	51	39	15
2019-09-21	1	68	36	22	9	22
2019-09-25	44	43	37	45	53	25
2019-09-28	51	55	34	15	23	4
2019-10-02	43	53	8	10	4	7
2019-10-05	6	51	36	54	14	4
2019-10-09	5	43	65	18	33	2
2019-10-12	12	34	53	65	29	23
2019-10-16	67	1	25	5	63	3
2019-10-19	65	27	59	14	29	12
2019-10-23	61	50	12	5	69	23
2019-10-26	3	54	20	59	48	4
2019-10-30	56	67	52	19	22	21
2019-11-02	23	37	32	58	3	22
2019-11-06	64	46	28	62	15	17
2019-11-09	14	38	60	35	17	25
2019-11-13	23	28	66	27	26	11
2019-11-16	26	55	63	14	22	26
2019-11-20	40	15	39	57	7	12
2019-11-23	38	28	66	35	61	23
2019-11-27	26	55	37	53	15	21
2019-11-30	42	35	15	63	68	18
2019-12-04	8	44	61	51	27	14
2019-12-07	66	53	18	42	62	25
2019-12-11	24	42	29	44	63	10
2019-12-14	6	32	3	12	64	19
2019-12-18	39	26	68	18	14	9
2019-12-21	50	35	67	19	31	14
2019-12-25	4	16	2	30	46	20
2019-12-28	59	23	39	20	60	18
2020-01-01	49	53	57	59	62	26
2020-01-04	54	1	25	21	11	7
2020-01-08	7	43	56	4	2	22
2020-01-11	23	59	31	3	21	3
2020-01-15	39	55	53	41	68	19
2020-01-18	24	68	20	38	56	18
2020-01-22	33	59	44	67	11	8
2020-01-25	36	17	2	67	9	18
2020-01-29	12	60	9	15	31	2
2020-02-01	33	60	54	57	12	13
2020-02-05	57	41	35	30	23	2
2020-02-08	59	66	35	50	49	6
2020-02-12	55	68	47	54	14	25
2020-02-15	32	16	36	46	35	3
2020-02-19	15	10	12	56	19	19
2020-02-22	61	62	37	39	25	11
2020-02-26	27	29	36	47	8	24
2020-02-29	24	50	46	44	51	13
2020-03-04	68	60	18	43	58	14
2020-03-07	15	62	7	21	33	23
2020-03-11	29	50	67	4	49	2
2020-03-14	26	32	9	23	30	8
2020-03-18	27	15	59	44	63	8
2020-03-21	69	23	2	59	40	13
2020-03-25	42	9	5	27	39	16
2020-03-28	40	7	55	66	48	11
2020-04-01	60	45	48	33	35	16
2020-04-04	40	43	31	8	39	4
2020-04-08	48	54	39	2	37	5
2020-04-11	29	47	30	22	42	17
2020-04-15	10	33	41	12	36	2
2020-04-18	46	63	56	4	44	19
2020-04-22	1	40	69	33	35	24
2020-04-25	1	21	3	57	47	18
2020-04-29	49	61	67	2	20	20
2020-05-02	58	33	13	68	16	24
2020-05-06	65	8	7	50	35	20
2020-05-09	42	12	65	48	18	19
2020-05-13	57	54	53	56	39	20
2020-05-16	8	12	26	42	39	11
2020-05-20	42	40	50	18	34	9
2020-05-23	2	23	8	18	21	16
2020-05-27	58	38	59	64	68	21
2020-05-30	32	13	58	41	60	14
2020-06-03	64	26	1	3	41	17
2020-06-06	68	38	69	1	17	18
2020-06-10	33	10	41	54	52	18
